-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST,,,,,,,,,,,,,,
Location: Latitude  12.9716   Longitude 77.5946 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
GWETROOT        MERRA-2 Root Zone Soil Wetness (1) ,,,,,,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,,,
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,,,,,
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) ,,,,,,,,,,,,,,
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS10M_MIN,2018,0.11,0.14,0.13,0.25,0.05,0.31,2.41,2.92,0.19,0.13,1.24,0.6,0.05
WS10M_MIN,2019,0.47,0.17,0.28,0.36,0.22,0.54,1.45,1.15,0.34,0.06,0.43,1.52,0.06
WS10M_MIN,2020,0.6,0.86,0.21,0.38,0.16,0.63,0.13,0.77,0.28,0.1,0.68,1.25,0.1
WS10M_MIN,2021,0.42,0.36,0.51,0.12,0.2,0.17,0.76,0.68,0.63,0.16,0.16,0.35,0.12
WS10M_MIN,2022,0.05,0.2,0.16,0.36,0.12,0.13,0.7,0.24,0.04,0.15,0.36,1.59,0.04
WS10M_MIN,2023,0.13,0.21,0.16,0.39,0.07,1.1,2.06,0.24,0.47,0.22,0.56,0.3,0.07
WS10M_MIN,2024,0.33,0.38,0.44,0.3,0.12,0.24,2.96,0.6,0.23,0.14,0.16,0.3,0.12
WS10M_MIN,2025,1.05,0.44,0.14,0.24,0.06,1.9,0.95,-999,-999,-999,-999,-999,-999
WS2M,2000,2.64,2.42,2.49,2.21,2.77,5.01,4.81,4.06,2.3,1.72,2.4,2.55,2.95
WS2M,2001,2.43,2.08,2.3,2.15,3.09,5.08,4.88,4.48,2.06,2.05,2.1,2.59,2.95
WS2M,2002,2.39,2.99,2.81,2.8,3.32,3.69,4.53,4.58,2.81,2.36,2.23,2.42,3.08
WS2M,2003,2.66,2.65,2.74,2.31,3.19,4.05,4.16,4.07,3.09,1.82,2.51,2.52,2.98
WS2M,2004,2.33,2.61,2.86,1.86,3.29,4.43,3.69,4.51,2.29,2.19,2.49,2.37,2.91
WS2M,2005,2.33,2.69,2.48,1.92,2.07,3.74,4.48,3.82,2.87,1.64,2.26,2.08,2.7
WS2M,2006,2.07,2.35,2.15,2.09,3.03,3.49,5.36,4.45,3.27,2.39,2.46,2.92,3.01
WS2M,2007,2.81,2.49,2.56,2.32,2.4,3.69,4.06,3.56,2.95,2,1.85,2.62,2.78
WS2M,2008,2.08,2.32,2.72,2.59,3.04,4.12,3.64,3.21,2.53,1.8,2.33,2.17,2.71
WS2M,2009,2.54,2.52,2.41,2.25,2.41,3.87,5.54,3.8,2.76,2.33,2.28,2.62,2.95
WS2M,2010,2.46,2.54,2.76,1.94,2.68,3.93,4.16,3.57,2.66,1.89,2.07,2.2,2.74
WS2M,2011,2.46,2.43,2.7,2.14,2.18,5.01,4.94,4.07,3.33,1.83,2.85,2.8,3.06
WS2M,2012,2.42,2.8,2.64,2.23,2.86,4.9,4.65,4.05,3.18,2.55,2.27,2.93,3.12
WS2M,2013,2.62,3.03,2.89,2.31,2.74,4.99,5.32,3.94,2.65,2.17,2.1,2.63,3.12
WS2M,2014,2.96,2.54,3.13,2.42,2.56,3.99,5.37,3.95,3.14,1.89,2.28,2.47,3.06
WS2M,2015,2.38,2.67,2.83,2.13,2.5,4.36,4.67,3.74,2.61,2.02,2.5,2.35,2.9
WS2M,2016,2.13,2.65,2.29,2.46,2.56,3.95,3.95,3.96,3.31,1.85,2.12,2.41,2.8
WS2M,2017,2.51,2.67,2.31,2.1,2.37,4.19,4.33,3.04,2.16,1.69,2.25,2.14,2.65
WS2M,2018,1.91,2.32,2.42,2.48,1.87,4.19,4.78,4.75,2.21,2.03,2.54,2.25,2.82
WS2M,2019,2.46,2.6,2.63,2.53,2.05,3.66,4.39,4.51,3.05,1.84,2.13,2.65,2.88
WS2M,2020,2.4,2.92,2.69,2.66,2.57,3.81,2.94,3.55,3.03,2.01,2.42,2.46,2.79
WS2M,2021,2.44,2.52,2.77,2.21,2.86,3.51,3.94,3.11,2.85,1.7,2.29,2.07,2.69
WS2M,2022,1.98,2.31,2.68,2.64,2.72,2.99,3.87,3.42,2.46,1.94,2,2.34,2.62
WS2M,2023,2.15,2.45,2.51,2.41,1.84,3.38,4.89,3.07,3.06,1.87,2.37,2.65,2.72
WS2M,2024,2.56,2.9,2.7,3.09,2.42,3.97,5.35,3,3.22,1.6,2.32,2.31,2.95
WS2M,2025,2.54,2.72,2.81,2.27,2.8,4.29,4.69,-999,-999,-999,-999,-999,-999
